청정 우도에서 만난 청정 노을의 맑은 색,우도(해양도립공원),자연
보리밭을 지나다 아름다운 풍경에 홀릭 . 마침 남편의 생일을 맞아 멋진 사진을 남겨 액자를 만들 요량으로 두시간을 애정사진 찍다가 다리에 쥐가 날정도였다. 아름다운 청정자연속에서 더없이 아름다운 부부이고 싶다,우도(해양도립공원),자연
보리밭을 지나다 아름다운 풍경에 홀릭 . 마침 남편의 생일을 맞아 멋진 사진을 남겨 액자를 만들 요량으로 두시간을 애정사진 찍다가 다리에 쥐가 날정도였다. 아름다운 청정자연속에서 더없이 아름다운 부부이고 싶다,우도(해양도립공원),자연
우도섬에 봄이 왔습니다. 유채와 청보리 파란 하늘과 그보다 더 푸른섬 우도가 제주의 반짝반짝한 바다에서 빛나고 있어요. 우도에서 이 봄을 만끽하시길.,우도(해양도립공원),자연
일몰이 제일 아름답다는 우도 낮에 사람들로 가득한 우도는 마지막 배가 떠나고 나면 동그랗고 핑크빛의 해가 지는동안 몇몇 우도에 남은 사람들은 30여분동안 조용한 해변에서 해가 지는 모습만 보는것만으로 감동적인 영화한편을 보는 것보다 더 한 감동을 느낍니다. 첫배가 들어오기전 밀물과 바람으로 가득한 해변은 전날 저녁과는 다른 모습입니다.,우도(해양도립공원),자연
세번째 제주여행 우도는 처음이였는데 너무 좋았어요,우도(해양도립공원),자연
제주도 우도 신혼여행 행복한추억 만들어갑니다,우도(해양도립공원),자연
"제주가을, 제주우도 제주도우도 우도의가을풍경 우도파란하늘 가을에 떠났던 제주 우도여행 눈부시게 아름다웠다",우도(해양도립공원),자연
제주가을 우도 제주여행 나혼자간다 처음으로 혼자 떠나 본 장기여행지가 제주였어요~ 우도를 한나절 걸어다니면서 땀도 실컷 빼고 바람도 실컷 맞고 우도봉에도 오르고~ 정말 좋았어요~,우도(해양도립공원),자연
"한번가기도 쉽지 않은 우도.
여기저기 둘러보며 일상에서의 답답함과 힘듦을 잊고 쉴수 있었습니다. 해외의 어떤 관광지와 비교해도 결코 밀리지 않는 절경들이 있는곳! 우도야, 고마워!",우도(해양도립공원),자연
스쿠터 대여해서 한바퀴 돌고 왔는데 너무 좋았어요 ~,우도(해양도립공원),자연
